provinsi_sasaran;divaksin_2
YOGYAKARTA;1516103
SUMATERA UTARA;5296326
SUMATERA SELATAN;2752025
SUMATERA BARAT;2037786
SULAWESI UTARA;808453
SULAWESI TENGGARA;754885
SULAWESI TENGAH;753399
SULAWESI SELATAN;2791331
SULAWESI BARAT;359724
RIAU;2354163
PAPUA BARAT;224731
PAPUA;386214
NUSA TENGGARA TIMUR;1536274
NUSA TENGGARA BARAT;2173726
MALUKU UTARA;393085
MALUKU;410677
LAMPUNG;2984353
KEPULAUAN RIAU;802562
KEPULAUAN BANGKA BELITUNG;531430
KALIMANTAN UTARA;262803
KALIMANTAN TIMUR;1424107
KALIMANTAN TENGAH;997839
KALIMANTAN SELATAN;1468273
KALIMANTAN BARAT;1788822
JAWA TIMUR;14921514
JAWA TENGAH;13338234
JAWA BARAT;18655102
JAMBI;1204526
GORONTALO;402401
DKI JAKARTA;6492845
BENGKULU;696676
BANTEN;4425412
BALI;1737860
ACEH;2085846
;814274
